id;code;date;details;status;payment_method;payment_date;payment_amount
1;notwithstanding;2023-12-27T11:30:25;appetizer whoever till;CANCELLED;PAYPAL;2023-12-27T12:43:38;9093.04
2;pupil;2023-12-26T18:29:44;reuse droopy police;ISSUED;PAYPAL;2023-12-26T18:38:39;112.55
3;unlike gator;2023-12-27T10:55:22;enfranchise;ISSUED;PAYPAL;2023-12-26T21:19:50;30370.2
4;eyeliner gently;2023-12-27T03:28:37;cloak;CANCELLED;PAYPAL;2023-12-26T21:13:42;4830.26
5;populist contextualize;2023-12-27T02:52:26;hourly wetly;ISSUED;PAYPAL;2023-12-27T07:40:00;9009.78
6;unfortunately indeed though;2023-12-26T19:34:08;oof impressive;ISSUED;CASH_ON_DELIVERY;2023-12-27T07:52:54;23509.59
7;minus ketch yieldingly;2023-12-26T21:06:53;continually which;PAID;PAYPAL;2023-12-27T02:58:47;24573.18
8;including whoa hastily;2023-12-26T15:50:46;whoever;PAID;CASH_ON_DELIVERY;2023-12-27T08:38:27;18612.73
9;wow boo;2023-12-27T06:16:09;corridor;PAID;CASH_ON_DELIVERY;2023-12-27T13:29:56;5617.92
10;vision;2023-12-27T03:27:26;what birth gosh;ISSUED;CASH_ON_DELIVERY;2023-12-27T09:32:17;20623.81
