id;tracking_code;date;details;invoice_id
1;overconfidently;2023-12-26T21:50:38;dehumanise because;1
2;subdued bah;2023-12-26T22:43:01;where soup;2
3;bitter lipid;2023-12-26T16:43:17;from;3
4;hm yahoo;2023-12-27T04:28:08;whenever drat excepting;4
5;excitedly;2023-12-26T16:22:43;afterwards notwithstanding supposing;5
6;reluctantly;2023-12-27T03:30:42;commonly airfare;6
7;adorable terrific synthesis;2023-12-26T19:02:13;pheromone;7
8;oof precious;2023-12-27T00:22:56;interface;8
9;considering;2023-12-26T14:57:54;ugh knowingly;9
10;yellow excepting;2023-12-27T08:14:29;battleship under spat;10
