id;date;details;sent_date;user_id;product_id
1;2023-12-27T01:46:15;flashy;2023-12-26T14:12:10;24465;24448
2;2023-12-26T19:03:23;notwithstanding;2023-12-27T10:25:16;6881;31794
3;2023-12-26T16:09:12;however;2023-12-27T01:14:22;15327;31807
4;2023-12-26T19:09:22;zowie;2023-12-27T08:09:00;12706;19458
5;2023-12-27T03:37:57;embarrassed whether stagger;2023-12-27T10:53:12;9920;10609
6;2023-12-26T15:28:10;finally;2023-12-26T21:54:03;7850;26740
7;2023-12-27T03:20:43;supposing;2023-12-27T03:07:24;1974;8246
8;2023-12-26T19:54:41;about to other;2023-12-27T06:16:52;14203;22876
9;2023-12-27T01:06:29;especially judgementally hardware;2023-12-27T12:59:21;23428;25806
10;2023-12-27T12:08:38;hasty pale;2023-12-26T15:22:07;7307;20481
