id;placed_date;status;code;invoice_id;customer
1;2023-12-27T06:10:21;COMPLETED;ill-informed;10075;rehash rare sweltering
2;2023-12-27T04:50:00;CANCELLED;since failing;3753;meanwhile red queasily
3;2023-12-26T21:37:50;COMPLETED;afore;11738;bleakly inject
4;2023-12-26T23:21:01;CANCELLED;ack healthy;32353;liberalise
5;2023-12-27T06:52:39;CANCELLED;indolent concerned step-aunt;23346;grotesque burden hmph
6;2023-12-26T23:40:40;CANCELLED;whose command;14202;ack
7;2023-12-27T00:57:35;PENDING;hate abnormally excellence;9214;ew yippee
8;2023-12-27T01:39:00;CANCELLED;greedily uh-huh upward;15800;although gracefully hot
9;2023-12-27T06:03:39;COMPLETED;blanket even unless;23606;safe
10;2023-12-27T08:54:08;COMPLETED;ensconce pro;10845;savage wholly
